                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
 8/20/17  1:10a   72.6   72.8   72.4    27   36.7   8.0     W   0.67  11.0     W   72.1   69.8   69.3   838.3  0.00  0.00   0.000   0.026   68.1    42   44.1   65.9   8.09  .9848    116    1    100.0    5 
 8/20/17  1:15a   72.8   72.8   72.7    27   36.9   6.0     W   0.50   9.0   WSW   72.8   70.1   70.1   838.2  0.00  0.00   0.000   0.027   68.2    42   44.2   66.0   8.09  .9845    116    1    100.0    5 
 8/20/17  1:20a   72.6   72.7   72.5    27   36.7   5.0     W   0.42   8.0     W   72.6   69.8   69.8   838.2  0.00  0.00   0.000   0.026   68.2    42   44.2   66.0   8.09  .9845    116    1    100.0    5 
 8/20/17  1:25a   72.4   72.5   72.1    29   38.3   3.0     W   0.25   6.0   WSW   72.4   69.6   69.6   838.2  0.00  0.00   0.000   0.026   68.2    42   44.2   66.0   8.09  .9845    117    1    100.0    5 
 8/20/17  1:30a   71.8   72.1   71.4    29   37.8   5.0   WSW   0.42  10.0   WSW   71.8   68.7   68.7   838.1  0.00  0.00   0.000   0.024   68.2    42   44.2   66.0   8.09  .9844    116    1    100.0    5 
 8/20/17  1:35a   71.3   71.4   71.3    27   35.6   5.0     W   0.42  13.0   WNW   71.3   67.9   67.9   838.2  0.00  0.00   0.000   0.022   68.2    42   44.2   66.0   8.09  .9845    117    1    100.0    5 
 8/20/17  1:40a   71.7   72.0   71.4    26   35.0   9.0     W   0.75  13.0   WNW   70.3   68.3   66.9   838.1  0.00  0.00   0.000   0.023   68.2    42   44.2   66.0   8.09  .9844    117    1    100.0    5 
 8/20/17  1:45a   72.3   72.4   72.0    26   35.5   9.0     W   0.75  16.0   WSW   70.9   69.2   67.8   838.1  0.00  0.00   0.000   0.025   68.2    42   44.2   66.0   8.09  .9844    118    1    100.0    5 
 8/20/17  1:50a   72.4   72.5   72.4    26   35.6  11.0     W   0.92  19.0   WNW   69.8   69.3   66.7   838.1  0.00  0.00   0.000   0.026   68.2    42   44.2   66.0   8.09  .9843    117    1    100.0    5 
 8/20/17  1:55a   72.6   72.6   72.5    26   35.7  11.0     W   0.92  19.0     W   70.1   69.7   67.2   838.0  0.00  0.00   0.000   0.026   68.4    41   43.8   66.1   7.95  .9841    115    1    100.0    5 
 8/20/17  2:00a   72.6   72.7   72.6    26   35.7  10.0     W   0.83  15.0     W   70.5   69.7   67.6   838.0  0.00  0.00   0.000   0.026   68.5    41   43.9   66.2   7.95  .9839    112    1     98.2    5 
 8/20/17  2:05a   72.9   73.1   72.7    25   35.0   9.0     W   0.75  13.0   WSW   71.5   70.0   68.6   838.0  0.00  0.00   0.000   0.027   68.6    41   43.9   66.3   7.95  .9836    113    1     99.1    5 
 8/20/17  2:10a   73.1   73.2   73.1    25   35.2   8.0     W   0.67  18.0   WSW   72.6   70.3   69.8   837.9  0.00  0.00   0.000   0.028   68.7    41   44.0   66.4   7.95  .9833    115    1    100.0    5 
 8/20/17  2:15a   73.1   73.1   73.1    25   35.2   8.0     W   0.67  12.0     W   72.6   70.3   69.8   838.0  0.00  0.00   0.000   0.028   68.9    41   44.2   66.6   7.95  .9829    114    1    100.0    5 
 8/20/17  2:20a   73.0   73.1   72.8    25   35.1   7.0     W   0.58  12.0   WSW   73.0   70.2   70.2   838.0  0.00  0.00   0.000   0.028   68.9    41   44.2   66.6   7.95  .9829    117    1    100.0    5 
 8/20/17  2:25a   72.7   72.8   72.6    25   34.8   6.0     W   0.50  11.0     W   72.7   69.7   69.7   838.0  0.00  0.00   0.000   0.027   69.0    41   44.3   66.7   7.95  .9828    117    1    100.0    5 
 8/20/17  2:30a   72.6   72.6   72.6    26   35.7   6.0     W   0.50  12.0     W   72.6   69.7   69.7   838.0  0.00  0.00   0.000   0.026   69.0    41   44.3   66.7   7.95  .9827    116    1    100.0    5 
 8/20/17  2:35a   72.6   72.6   72.6    26   35.7   4.0    NW   0.33   9.0   WNW   72.6   69.7   69.7   838.1  0.00  0.00   0.000   0.026   69.0    41   44.3   66.7   7.95  .9829    116    1    100.0    5 
 8/20/17  2:40a   72.5   72.5   72.4    26   35.6   7.0     W   0.58  12.0     W   72.5   69.5   69.5   838.1  0.00  0.00   0.000   0.026   69.0    41   44.3   66.7   7.95  .9828    117    1    100.0    5 
 8/20/17  2:45a   72.4   72.5   72.3    25   34.6   7.0     W   0.58  13.0     W   72.4   69.2   69.2   838.1  0.00  0.00   0.000   0.026   68.9    41   44.2   66.6   7.95  .9831    116    1    100.0    5 
 8/20/17  2:50a   72.5   72.5   72.4    26   35.6   4.0   WSW   0.33  10.0     W   72.5   69.5   69.5   838.2  0.00  0.00   0.000   0.026   68.9    41   44.2   66.6   7.95  .9832    117    1    100.0    5 
 8/20/17  2:55a   72.3   72.4   72.1    26   35.5   0.0   WSW   0.00   2.0   WSW   72.3   69.2   69.2   838.2  0.00  0.00   0.000   0.025   68.9    41   44.2   66.6   7.95  .9832    117    1    100.0    5 
 8/20/17  3:00a   71.8   72.1   71.2    33   41.1   1.0    SE   0.08   3.0    SE   71.8   69.1   69.1   838.1  0.00  0.00   0.000   0.024   68.7    41   44.0   66.4   7.95  .9836    116    1    100.0    5 
 8/20/17  3:05a   70.3   71.1   69.5    37   42.8   1.0    SE   0.08   3.0    SE   70.3   67.5   67.5   838.2  0.00  0.00   0.000   0.018   68.5    41   43.9   66.2   7.95  .9841    116    1    100.0    5 
 8/20/17  3:10a   68.5   69.4   67.6    40   43.2   1.0    SE   0.08   3.0    SE   68.5   66.1   66.1   838.2  0.00  0.00   0.000   0.012   68.4    41   43.8   66.1   7.95  .9844    114    1    100.0    5 
 8/20/17  3:15a   66.8   67.5   65.9    43   43.6   2.0    NE   0.17   4.0    NE   66.8   64.6   64.6   838.3  0.00  0.00   0.000   0.006   68.1    41   43.5   65.8   7.95  .9851    112    1     98.2    5 
 8/20/17  3:20a   65.4   65.8   65.2    37   38.4   3.0   SSW   0.25   6.0   SSW   65.4   62.5   62.5   838.2  0.00  0.00   0.000   0.001   67.8    41   43.2   65.5   7.95  .9856    115    1    100.0    5 
 8/20/17  3:25a   66.0   66.2   65.7    39   40.3   3.0    SW   0.25   6.0    SW   66.0   63.3   63.3   838.2  0.00  0.00   0.000   0.003   67.5    41   43.0   65.2   7.95  .9863    114    1    100.0    5 
 8/20/17  3:30a   66.2   66.5   66.1    35   37.7   4.0    SW   0.33   7.0    SW   66.2   63.1   63.1   838.2  0.00  0.00   0.000   0.004   67.4    41   42.9   65.1   7.95  .9865    116    1    100.0    5 
 8/20/17  3:35a   67.2   68.2   66.6    30   34.7   5.0     W   0.42  10.0     W   67.2   63.6   63.6   838.2  0.00  0.00   0.000   0.008   67.2    41   42.7   64.8   7.95  .9870    117    1    100.0    5 
 8/20/17  3:40a   69.1   69.4   68.3    30   36.3   6.0   WNW   0.50  10.0     W   69.1   65.5   65.5   838.2  0.00  0.00   0.000   0.014   67.2    41   42.7   64.8   7.95  .9871    117    1    100.0    5 
 8/20/17  3:45a   68.7   69.2   68.0    33   38.4   4.0     W   0.33  10.0   WNW   68.7   65.5   65.5   838.2  0.00  0.00   0.000   0.013   67.0    41   42.5   64.6   7.95  .9875    117    1    100.0    5 
 8/20/17  3:50a   67.9   68.0   67.9    34   38.5   6.0     W   0.50  10.0     W   67.9   64.8   64.8   838.2  0.00  0.00   0.000   0.010   67.0    41   42.5   64.6   7.95  .9875    117    1    100.0    5 
 8/20/17  3:55a   67.7   68.0   67.4    36   39.8   5.0   WSW   0.42   7.0   WSW   67.7   64.8   64.8   838.2  0.00  0.00   0.000   0.009   66.9    41   42.4   64.5   7.95  .9877    118    1    100.0    5 
 8/20/17  4:00a   67.0   67.4   66.7    36   39.1   7.0   WSW   0.58  11.0   WSW   67.0   64.0   64.0   838.2  0.00  0.00   0.000   0.007   66.7    41   42.2   64.3   7.95  .9882    116    1    100.0    5 
 8/20/17  4:05a   67.2   67.4   66.8    37   40.0   4.0   WSW   0.33   9.0     W   67.2   64.4   64.4   838.2  0.00  0.00   0.000   0.008   66.6    41   42.2   64.2   7.95  .9884    117    1    100.0    5 
 8/20/17  4:10a   67.3   67.4   67.1    40   42.1   2.0   NNW   0.17   4.0   NNW   67.3   64.8   64.8   838.2  0.00  0.00   0.000   0.008   66.5    41   42.1   64.1   7.95  .9886    117    1    100.0    5 
 8/20/17  4:15a   66.8   67.0   66.6    42   43.0   2.0   NNW   0.17   5.0   NNW   66.8   64.5   64.5   838.2  0.00  0.00   0.000   0.006   66.4    41   42.0   63.9   7.95  .9889    116    1    100.0    5 
 8/20/17  4:20a   66.2   66.5   65.8    44   43.6   2.0   NNW   0.17   4.0   NNW   66.2   64.0   64.0   838.3  0.00  0.00   0.000   0.004   66.2    41   41.8   63.7   7.95  .9894    114    1    100.0    5 
 8/20/17  4:25a   65.4   65.8   65.0    45   43.5   3.0     N   0.25   6.0     N   65.4   63.2   63.2   838.3  0.00  0.00   0.000   0.001   66.0    41   41.6   63.5   7.95  .9899    114    1    100.0    5 
 8/20/17  4:30a   64.7   64.9   64.3    46   43.4   3.0     N   0.25   5.0     N   64.7   62.6   62.6   838.3  0.00  0.00   0.001   0.000   65.8    41   41.4   63.3   7.95  .9903    115    1    100.0    5 
 8/20/17  4:35a   64.1   64.3   63.9    47   43.4   2.0     N   0.17   4.0     N   64.1   62.1   62.1   838.3  0.00  0.00   0.003   0.000   65.5    41   41.2   63.0   7.95  .9910    113    1     99.1    5 
 8/20/17  4:40a   63.7   63.9   63.5    46   42.5   1.0     N   0.08   2.0     N   63.7   61.6   61.6   838.3  0.00  0.00   0.005   0.000   65.3    42   41.6   62.9   8.14  .9911    116    1    100.0    5 
 8/20/17  4:45a   63.4   63.5   63.2    48   43.4   0.0     N   0.00   2.0     N   63.4   61.4   61.4   838.3  0.00  0.00   0.006   0.000   65.0    42   41.3   62.6   8.15  .9919    117    1    100.0    5 
 8/20/17  4:50a   63.0   63.2   62.8    48   43.0   0.0     N   0.00   1.0     N   63.0   60.9   60.9   838.3  0.00  0.00   0.007   0.000   64.8    42   41.2   62.3   8.15  .9923    117    1    100.0    5 
 8/20/17  4:55a   62.7   62.8   62.5    49   43.3   0.0     N   0.00   1.0     N   62.7   60.7   60.7   838.3  0.00  0.00   0.008   0.000   64.6    42   41.0   62.1   8.15  .9928    117    1    100.0    5 
 8/20/17  5:00a   62.3   62.5   62.2    50   43.4   0.0     N   0.00   1.0     N   62.3   60.4   60.4   838.3  0.00  0.00   0.009   0.000   64.3    42   40.7   61.8   8.15  .9935    117    1    100.0    5 
 8/20/17  5:05a   61.9   62.2   61.6    51   43.6   0.0     N   0.00   2.0     N   61.9   60.1   60.1   838.3  0.00  0.00   0.011   0.000   64.1    42   40.5   61.6   8.15  .9939    118    1    100.0    5 
 8/20/17  5:10a   61.4   61.6   61.2    52   43.6   0.0     N   0.00   3.0     N   61.4   59.6   59.6   838.4  0.00  0.00   0.012   0.000   63.8    42   40.3   61.3   8.15  .9946    117    1    100.0    5 
 8/20/17  5:15a   61.0   61.2   60.8    53   43.7   0.0     N   0.00   1.0     N   61.0   59.2   59.2   838.3  0.00  0.00   0.014   0.000   63.5    42   40.0   61.0   8.15  .9953    117    1    100.0    5 
 8/20/17  5:20a   60.7   60.8   60.7    54   43.9   0.0     N   0.00   2.0     N   60.7   59.0   59.0   838.3  0.00  0.00   0.015   0.000   63.2    42   39.7   60.7   8.15  .9960    114    1    100.0    5 
 8/20/17  5:25a   60.5   60.7   60.3    54   43.8   0.0     N   0.00   2.0     N   60.5   58.8   58.8   838.3  0.00  0.00   0.016   0.000   63.0    42   39.5   60.5   8.15  .9964    116    1    100.0    5 
 8/20/17  5:30a   60.2   60.3   60.1    55   44.0   1.0     N   0.08   3.0     N   60.2   58.6   58.6   838.4  0.00  0.00   0.017   0.000   62.7    43   39.9   60.2   8.30  .9970    117    1    100.0    5 
 8/20/17  5:35a   59.7   60.0   59.4    55   43.5   2.0     W   0.17   5.0   WNW   59.7   58.1   58.1   838.4  0.00  0.00   0.018   0.000   62.4    43   39.6   59.9   8.30  .9976    115    1    100.0    5 
 8/20/17  5:40a   59.2   59.4   59.1    54   42.6   0.0     W   0.00   4.0     W   59.2   57.5   57.5   838.5  0.00  0.00   0.020   0.000   62.2    43   39.4   59.7   8.31  .9982    115    1    100.0    5 
 8/20/17  5:45a   58.9   59.1   58.8    55   42.8   2.0     W   0.17   5.0     W   58.9   57.3   57.3   838.5  0.00  0.00   0.021   0.000   61.9    43   39.1   59.4   8.31  .9989    114    1    100.0    5 
 8/20/17  5:50a   58.8   58.8   58.7    55   42.7   0.0     W   0.00   2.0     W   58.8   57.2   57.2   838.5  0.00  0.00   0.022   0.000   61.7    43   39.0   59.2   8.32  .9994    114    1    100.0    5 
 8/20/17  5:55a   58.6   58.7   58.6    56   42.9   0.0     W   0.00   2.0     W   58.6   57.1   57.1   838.6  0.00  0.00   0.022   0.000   61.4    43   38.7   58.9   8.32 1.0001    115    1    100.0    5 
 8/20/17  6:00a   58.5   58.6   58.5    57   43.3   1.0     W   0.08   3.0     W   58.5   57.0   57.0   838.6  0.00  0.00   0.023   0.000   61.2    43   38.5   58.7   8.33 1.0006    117    1    100.0    5 
 8/20/17  6:05a   58.4   58.5   58.2    58   43.7   0.0     W   0.00   2.0     W   58.4   57.0   57.0   838.6  0.00  0.00   0.023   0.000   61.0    43   38.3   58.5   8.33 1.0010    117    1    100.0    5 
 8/20/17  6:10a   58.1   58.2   58.0    58   43.4   0.0     W   0.00   2.0     W   58.1   56.7   56.7   838.7  0.00  0.00   0.024   0.000   60.7    43   38.1   58.2   8.34 1.0019    118    1    100.0    5 
 8/20/17  6:15a   57.9   58.0   57.7    60   44.1   0.0     W   0.00   4.0     W   57.9   56.6   56.6   838.7  0.00  0.00   0.025   0.000   60.5    43   37.9   58.0   8.34 1.0023    116    1    100.0    5 
 8/20/17  6:20a   57.6   57.7   57.5    60   43.8   0.0     W   0.00   1.0     W   57.6   56.3   56.3   838.7  0.00  0.00   0.026   0.000   60.2    44   38.2   57.8   8.54 1.0028    117    1    100.0    5 
 8/20/17  6:25a   57.4   57.5   57.3    60   43.6   1.0     W   0.08   4.0     W   57.4   56.1   56.1   838.8  0.00  0.00   0.026   0.000   60.0    44   38.0   57.6   8.55 1.0033    115    1    100.0    5 
 8/20/17  6:30a   57.4   57.4   57.3    62   44.5   1.0     W   0.08   5.0     W   57.4   56.2   56.2   838.9  0.00  0.00   0.026   0.000   59.9    44   37.9   57.5   8.55 1.0036    116    1    100.0    5 
 8/20/17  6:35a   57.3   57.3   57.3    62   44.4   1.0     W   0.08   4.0     W   57.3   56.1   56.1   838.8  0.00  0.00   0.027   0.000   59.7    44   37.7   57.3   8.54 1.0040    117    1    100.0    5 
 8/20/17  6:40a   57.4   57.5   57.3    63   44.9   1.0     W   0.08   3.0     W   57.4   56.3   56.3   838.8  0.00  0.00   0.026   0.000   59.7    44   37.7   57.3   8.54 1.0040    116    1    100.0    5 
 8/20/17  6:45a   57.6   57.8   57.5    61   44.2   2.0     W   0.17   5.0   WSW   57.6   56.4   56.4   838.9  0.00  0.00   0.026   0.000   59.7    44   37.7   57.3   8.54 1.0041    117    1    100.0    5 
 8/20/17  6:50a   58.3   58.8   57.8    57   43.1   3.0    SW   0.25   8.0   WSW   58.3   56.8   56.8   838.9  0.00  0.00   0.023   0.000   59.7    44   37.7   57.3   8.54 1.0041    116    1    100.0    5 
 8/20/17  6:55a   59.6   60.7   58.8    50   40.9   4.0    SW   0.33   6.0   WSW   59.6   57.6   57.6   839.0  0.00  0.00   0.019   0.000   59.8    43   37.2   57.3   8.35 1.0042    114    1    100.0    5 
 8/20/17  7:00a   62.0   63.0   60.8    49   42.6   4.0    SW   0.33   6.0    SW   62.0   60.0   60.0   839.1  0.00  0.00   0.010   0.000   60.0    43   37.4   57.5   8.35 1.0039    114    1    100.0    5 
 8/20/17  7:05a   63.8   64.2   63.1    48   43.7   5.0    SW   0.42   8.0    SW   63.8   61.8   61.8   839.1  0.00  0.00   0.004   0.000   60.4    43   37.8   57.9   8.34 1.0029    114    1    100.0    5 
 8/20/17  7:10a   64.4   64.6   64.2    45   42.6   4.0   SSW   0.33   7.0   WSW   64.4   62.2   62.2   839.2  0.00  0.00   0.002   0.000   60.8    43   38.1   58.3   8.33 1.0022    114    1    100.0    5 
 8/20/17  7:15a   64.9   65.3   64.6    45   43.0   4.0    SW   0.33   6.0    SW   64.9   62.7   62.7   839.1  0.00  0.00   0.000   0.000   61.2    43   38.5   58.7   8.33 1.0012    117    1    100.0    5 
 8/20/17  7:20a   65.9   66.7   65.3    43   42.8   6.0   WSW   0.50   9.0   WSW   65.9   63.6   63.6   839.0  0.00  0.00   0.000   0.003   61.6    43   38.9   59.1   8.32 1.0002    116    1    100.0    5 
 8/20/17  7:25a   68.2   69.4   66.8    36   40.2   7.0   WSW   0.58  12.0   WSW   68.2   65.3   65.3   839.1  0.00  0.00   0.000   0.011   62.1    42   38.7   59.6   8.15  .9993    117    1    100.0    5 
 8/20/17  7:30a   70.3   70.9   69.5    34   40.6   6.0   WSW   0.50  10.0   WSW   70.3   67.2   67.2   839.1  0.00  0.00   0.000   0.018   62.6    42   39.2   60.1   8.15  .9983    117    1    100.0    5 
 8/20/17  7:35a   71.3   71.6   71.0    37   43.7   3.0   WSW   0.25   7.0   WSW   71.3   68.8   68.8   839.2  0.00  0.00   0.000   0.022   63.2    42   39.7   60.7   8.15  .9970    117    1    100.0    5 
 8/20/17  7:40a   71.6   71.7   71.6    40   46.0   1.0   WSW   0.08   4.0   WSW   71.6   69.5   69.5   839.3  0.00  0.00   0.000   0.023   63.9    41   39.7   61.3   7.97  .9957    117    1    100.0    5 
 8/20/17  7:45a   71.4   71.7   71.0    41   46.5   1.0   WSW   0.08   2.0   WSW   71.4   69.3   69.3   839.3  0.00  0.00   0.000   0.022   64.4    41   40.2   61.8   7.96  .9946    117    1    100.0    5 
 8/20/17  7:50a   70.5   71.0   70.2    44   47.5   0.0   WNW   0.00   2.0   WNW   70.5   68.4   68.4   839.3  0.00  0.00   0.000   0.019   64.8    41   40.5   62.3   7.95  .9938    116    1    100.0    5 
 8/20/17  7:55a   69.9   70.2   69.6    44   47.0   0.0   WNW   0.00   2.0   WNW   69.9   67.6   67.6   839.3  0.00  0.00   0.000   0.017   65.1    41   40.8   62.6   7.95  .9931    117    1    100.0    5 
 8/20/17  8:00a   69.4   69.6   69.2    41   44.7   2.0   WNW   0.17   5.0   WNW   69.4   67.0   67.0   839.4  0.00  0.00   0.000   0.015   65.4    40   40.4   62.8   7.84  .9927    114    1    100.0    5 
 8/20/17  8:05a   69.4   69.5   69.2    37   42.0   3.0     W   0.25   5.0     W   69.4   66.6   66.6   839.4  0.00  0.00   0.000   0.015   65.5    40   40.5   62.9   7.84  .9925    114    1    100.0    5 
 8/20/17  8:10a   69.7   69.8   69.5    48   49.1   0.0     W   0.00   2.0     W   69.7   67.9   67.9   839.4  0.00  0.00   0.000   0.016   65.8    40   40.8   63.2   7.83  .9918    114    1    100.0    5 
 8/20/17  8:15a   69.8   69.9   69.7    47   48.7   1.0     W   0.08   2.0     W   69.8   67.9   67.9   839.4  0.00  0.00   0.000   0.017   66.0    40   41.0   63.4   7.83  .9914    114    1    100.0    5 
 8/20/17  8:20a   69.6   69.7   69.6    52   51.2   0.0     W   0.00   1.0     W   69.6   68.2   68.2   839.4  0.00  0.00   0.000   0.016   66.2    40   41.2   63.6   7.83  .9909    117    1    100.0    5 
 8/20/17  8:25a   69.6   69.7   69.5    50   50.1   0.0     W   0.00   1.0     W   69.6   68.0   68.0   839.4  0.00  0.00   0.000   0.016   66.5    40   41.4   64.0   7.82  .9903    116    1    100.0    5 
 8/20/17  8:30a   70.0   70.5   69.7    50   50.5   3.0    SE   0.25   7.0    SE   70.0   68.3   68.3   839.4  0.00  0.00   0.000   0.017   66.8    39   41.0   64.2   7.71  .9899    117    1    100.0    5 
 8/20/17  8:35a   71.1   71.6   70.6    48   50.4   4.0   ESE   0.33   6.0    SE   71.1   69.6   69.6   839.5  0.00  0.00   0.000   0.021   67.3    39   41.5   64.7   7.70  .9888    117    1    100.0    5 
 8/20/17  8:40a   72.3   72.8   71.7    45   49.8   3.0    SE   0.25   6.0   ESE   72.3   71.1   71.1   839.5  0.00  0.00   0.000   0.025   68.0    39   42.1   65.5   7.69  .9873    117    1    100.0    5 
 8/20/17  8:45a   73.4   74.0   72.9    41   48.3   3.0    SE   0.25   6.0    SE   73.4   72.3   72.3   839.5  0.00  0.00   0.000   0.029   68.7    38   42.1   66.1   7.55  .9860    117    1    100.0    5 
 8/20/17  8:50a   74.5   75.0   74.0    41   49.2   4.0    SE   0.33   6.0    SE   74.5   73.7   73.7   839.5  0.00  0.00   0.000   0.033   69.6    38   42.9   66.8   7.55  .9840    116    1    100.0    5 
 8/20/17  8:55a   75.5   75.9   75.0    40   49.5   2.0    SE   0.17   6.0    SE   75.5   74.6   74.6   839.4  0.00  0.00   0.000   0.036   70.5    38   43.7   67.8   7.53  .9819    116    1    100.0    5 
 8/20/17  9:00a   76.4   76.8   75.9    42   51.6   2.0    SE   0.17   4.0    SE   76.4   75.7   75.7   839.5  0.00  0.00   0.000   0.040   71.4    37   43.8   68.9   7.32  .9802    117    1    100.0    5 
 8/20/17  9:05a   77.2   77.6   76.9    37   48.9   2.0   ENE   0.17   5.0   ENE   77.2   76.2   76.2   839.5  0.00  0.00   0.000   0.042   72.4    37   44.6   70.4   7.30  .9780    113    1     99.1    5 
 8/20/17  9:10a   77.9   78.2   77.6    36   48.8   3.0    NE   0.25   5.0    NE   77.9   76.7   76.7   839.5  0.00  0.00   0.000   0.045   73.4    36   44.8   71.9   7.11  .9762    112    1     98.2    5 
 8/20/17  9:15a   78.3   78.4   78.2    39   51.3   4.0     N   0.33   7.0     N   78.3   77.3   77.3   839.6  0.00  0.00   0.000   0.046   74.5    36   45.8   73.3   7.07  .9738    115    1    100.0    5 
 8/20/17  9:20a   78.1   78.3   77.8    39   51.1   5.0   NNE   0.42   6.0   NNE   78.1   77.1   77.1   839.7  0.00  0.00   0.000   0.045   75.7    35   46.1   74.5   6.94  .9716    114    1    100.0    5 
 8/20/17  9:25a   77.5   77.8   77.4    39   50.6   4.0   NNE   0.33   6.0   NNE   77.5   76.6   76.6   839.7  0.00  0.00   0.000   0.043   76.8    35   47.1   75.8   6.91  .9691    116    1    100.0    5 
 8/20/17  9:30a   77.4   77.5   77.3    40   51.2   3.0   NNE   0.25   5.0   NNE   77.4   76.6   76.6   839.7  0.00  0.00   0.000   0.043   77.9    34   47.3   76.6   6.69  .9671    118    1    100.0    5 
 8/20/17  9:35a   77.6   77.8   77.5    38   50.0   2.0   NNE   0.17   4.0   NNE   77.6   76.6   76.6   839.7  0.00  0.00   0.000   0.044   79.0    34   48.2   77.7   6.67  .9646    117    1    100.0    5 
 8/20/17  9:40a   78.1   78.3   77.8    32   45.8   1.0   NNE   0.08   4.0   NNE   78.1   76.6   76.6   839.7  0.00  0.00   0.000   0.045   80.2    34   49.3   78.6   6.64  .9619    116    1    100.0    5 
 8/20/17  9:45a   78.4   78.6   78.3    32   46.1   1.0   NNE   0.08   4.0   NNE   78.4   76.9   76.9   839.7  0.00  0.00   0.000   0.047   81.2    33   49.4   79.5   6.50  .9602    117    1    100.0    5 
 8/20/17  9:50a   78.9   79.1   78.6    33   47.3   3.0   NNE   0.25   6.0   NNE   78.9   77.5   77.5   839.8  0.00  0.00   0.000   0.048   82.3    33   50.3   80.8   6.46  .9578    117    1    100.0    5 
 8/20/17  9:55a   79.3   79.4   79.1    34   48.5   4.0   NNE   0.33   6.0   NNE   79.3   77.9   77.9   839.8  0.00  0.00   0.000   0.050   83.4    32   50.4   81.9   6.28  .9557    116    1    100.0    5 
 8/20/17 10:00a   79.4   79.4   79.4    33   47.8   5.0   NNE   0.42   7.0     N   79.4   77.9   77.9   839.8  0.00  0.00   0.000   0.050   84.5    32   51.4   83.2   6.26  .9533    117    1    100.0    5 
